index,EEMV,HYG,MTUM,QUAL,SIZE,USMV,VLUE
2013-08-15 04:00:00,48.11206,61.7604,48.40726,43.62487,46.1769,28.461170000000003,45.47725
2013-08-16 04:00:00,47.8609,61.549640000000004,48.1791,43.50139,46.1769,28.2893,45.266740000000006
2013-08-19 04:00:00,46.69724,61.141709999999996,48.096959999999996,43.44847,45.801970000000004,28.151809999999998,45.11518
2013-08-21 04:00:00,45.81821,61.48165,48.00569,43.766000000000005,45.801970000000004,28.16899,45.005720000000004
2013-08-26 04:00:00,46.11123,62.07995,48.41639,44.00414,46.3164,28.33227,45.56145
2013-08-27 04:00:00,44.97268,61.678819999999995,47.722770000000004,43.28971,46.3164,28.06588,44.60155
2013-09-06 04:00:00,47.69347,61.9021,48.36163,44.118809999999996,46.05482,28.16899,45.38463
2013-09-09 04:00:00,48.949220000000004,62.0593,48.70844,44.36577,46.24665,28.39242,45.38463
2013-09-10 04:00:00,49.18363,62.278009999999995,49.04612,44.621559999999995,46.5431,28.572879999999998,45.982459999999996
2013-09-17 04:00:00,49.56873,62.78378000000001,49.97702,45.265440000000005,46.5431,28.976770000000002,46.53819
2013-09-19 04:00:00,51.22632,63.2007,50.57025,45.92696,47.9033,29.38925,47.00972
2013-09-23 04:00:00,50.48124,63.118680000000005,49.913140000000006,45.49477,47.9033,29.11427,46.294
2013-09-27 04:00:00,49.50175,62.770109999999995,49.65994,45.22157,47.9033,28.916840000000004,46.01034
2013-09-30 04:00:00,49.15852,62.59241,49.35764,44.938390000000005,46.87407,28.786890000000003,45.82417
2013-10-02 04:00:00,50.096140000000005,62.89103000000001,49.806509999999996,45.23042,46.98799,28.882179999999998,45.891870000000004
2013-10-03 04:00:00,49.928709999999995,62.93224,49.33015,44.90299,46.71634,28.648290000000003,45.73108
2013-10-07 04:00:00,50.163109999999996,62.8773,49.3668,44.761390000000006,46.71634,28.59631,45.90879
2013-10-08 04:00:00,49.77802,62.849819999999994,48.72555,44.07112,46.76891,28.397059999999996,45.3672
2013-10-09 04:00:00,50.07103,62.904759999999996,48.54234,44.10652,46.383340000000004,28.41439,45.18949
2013-10-10 04:00:00,51.01702,63.19323000000001,49.440090000000005,44.74369,46.383340000000004,28.908170000000002,46.06958
2013-10-11 04:00:00,51.0254,63.30998,50.00805,45.13308,47.443670000000004,29.081429999999997,46.39116
2013-10-14 04:00:00,51.24306,63.40614,50.163779999999996,45.47821,47.30346,29.150740000000003,46.70426
2013-10-15 04:00:00,50.85797,63.38553,49.9714,45.195029999999996,47.30346,28.93416,46.72965
2013-10-16 04:00:00,51.10075,63.72206,50.7867,45.78795,47.82049,29.41928,47.017379999999996
2013-10-21 04:00:00,51.13423,64.0174,51.48291,46.49592,48.48649,29.77447,47.6436
2013-10-22 04:00:00,51.59467,64.2097,52.115,46.672909999999995,48.48649,30.060340000000004,47.96517
2013-10-23 04:00:00,50.84122,64.26465,51.96843,46.619820000000004,48.48649,30.008359999999996,47.65206
2013-10-24 04:00:00,50.86634,64.28525,52.041709999999995,46.752559999999995,48.48649,30.03435,47.69437
2013-10-25 04:00:00,50.88308,64.30585,52.07835,46.8676,48.48649,30.14697,47.87208
2013-10-28 04:00:00,50.85797,64.29212,52.25241,47.088840000000005,49.00351,30.224940000000004,47.98209
2013-10-29 04:00:00,50.95005,64.39514,52.563869999999994,47.38973,49.16125,30.406859999999998,48.16827
2013-10-30 04:00:00,50.84959,64.13415,52.27073,47.292390000000005,49.16125,30.19895,47.99055
2013-11-01 04:00:00,50.33892,64.05821,52.24324,47.15964,49.02104,30.2336,47.81285
2013-11-04 05:00:00,50.50636,64.16863000000001,52.115,47.37203,49.17001,30.31157,48.13442
2013-11-07 05:00:00,49.192,64.22384,51.55619,46.9915,49.17001,30.095,47.81285
2013-11-11 05:00:00,48.6311,63.871880000000004,51.9043,47.55788,49.07362,30.242259999999998,48.44753
2013-11-14 05:00:00,49.00782,64.21004,52.79289,48.318940000000005,49.07362,30.684070000000002,48.684470000000005
2013-11-18 05:00:00,49.83662,64.12031999999999,52.811209999999996,48.24815,49.07362,30.658079999999998,49.251459999999994
2013-11-19 05:00:00,49.5185,64.09272,52.6738,48.31009,49.07362,30.597440000000002,48.92143
2013-11-21 05:00:00,48.99108,64.25144,52.98526,48.55788,49.46796,30.57146,49.07375
2013-11-22 05:00:00,49.099909999999994,64.29975,53.5349,48.72603,49.46796,30.684070000000002,49.31916
2013-11-25 05:00:00,48.898990000000005,64.39636999999999,53.57154,48.67293,49.643229999999996,30.658079999999998,49.36994
2013-11-26 05:00:00,49.03294,64.44468,53.47994,48.84107,49.643229999999996,30.58878,49.505340000000004
2013-11-27 05:00:00,49.27572,64.40326999999999,53.562380000000005,48.99152,49.643229999999996,30.606109999999997,49.39532
2013-11-29 05:00:00,49.711040000000004,64.47229,53.74559,49.06231,49.643229999999996,30.54547,49.57304
2013-12-03 05:00:00,48.73993,64.43068000000001,53.21428,48.71717,49.231359999999995,30.354879999999998,48.9722
2013-12-04 05:00:00,48.580870000000004,64.26424,52.99442,48.67293,49.231359999999995,30.259590000000003,49.1753
2013-12-05 05:00:00,48.26274,64.2157,52.95778000000001,48.54903,49.231359999999995,30.138309999999997,48.93835
2013-12-06 05:00:00,49.05805,64.396,53.562380000000005,48.91187,49.57312,30.519479999999998,49.3784
2013-12-09 05:00:00,49.20037,64.63178,53.65399,49.06231,49.78344,30.48483,49.62381
2013-12-10 05:00:00,49.08317,64.63178,53.63567,48.83222,49.78344,30.346220000000002,49.488409999999995
2013-12-11 05:00:00,48.33809,64.43760999999999,52.88449,48.372040000000005,49.78344,30.07767,48.93835
2013-12-12 05:00:00,48.162279999999996,64.31973,52.93029,48.26585,48.84578,29.90441,48.78603
2013-12-13 05:00:00,48.220890000000004,64.42374000000001,53.21428,48.1508,48.9597,29.921740000000003,48.72679
2013-12-16 05:00:00,48.3632,64.47923,53.40665,48.469390000000004,49.1963,30.01703,49.065290000000005
2013-12-17 05:00:00,48.153909999999996,64.48615,53.424969999999995,48.28355,49.1963,29.90441,48.98912
2013-12-18 05:00:00,48.81793,64.59711,54.148669999999996,48.97382,49.07362,30.42418,49.46302
2013-12-19 05:00:00,48.30826,64.52776999999999,54.34104,49.05346,49.55559,30.389540000000004,49.46302
2013-12-20 05:00:00,48.13837,64.56936999999999,54.67998000000001,49.3809,49.55559,30.510820000000002,49.95385
2013-12-23 05:00:00,48.418690000000005,64.61792,54.91845,49.651790000000005,50.16726,30.5854,50.09369
2013-12-24 05:00:00,48.64804,64.58324,54.99199,49.74947,50.37878,30.67254,50.09369
2013-12-26 05:00:00,48.418690000000005,64.64409,55.27697,50.069109999999995,50.3876,30.7684,50.47647
2013-12-27 05:00:00,48.91137,64.63712,55.019569999999995,49.9892,50.59913,30.78582,50.5105
2013-12-30 05:00:00,49.05577,64.69288,54.927640000000004,49.9892,50.59913,30.88167,50.49348
2013-12-31 05:00:00,49.48899,64.7347,55.18504,50.184540000000005,50.69608,30.93396,50.6466
2014-01-02 05:00:00,48.21482,64.84621,54.615080000000006,49.81162,50.69608,30.62898,50.36589
2014-01-03 05:00:00,48.0874,64.8253,54.70701,49.71395,50.42285,30.62026,50.306340000000006
2014-01-06 05:00:00,47.6372,64.96469,54.587509999999995,49.518609999999995,50.42285,30.55055,50.29784
2014-01-07 05:00:00,47.80708,64.96469,55.03796,49.91817,50.431670000000004,30.72482,50.57855
2014-01-08 05:00:00,47.65418,64.92286999999999,55.44245,49.90041,50.431670000000004,30.716109999999997,50.57855
2014-01-09 05:00:00,47.4673,65.02045,55.54356,49.87377,50.3259,30.75968,50.46797
2014-01-10 05:00:00,47.94299,65.21561,55.65388000000001,49.98032,50.3259,30.90782,50.62959
2014-01-13 05:00:00,47.55225,65.1459,54.67943,49.28775,50.687259999999995,30.59412,50.28083
2014-01-14 05:00:00,47.95149,65.24348,55.51599,49.85602,50.4493,30.777109999999997,50.44245
2014-01-15 05:00:00,47.81558,65.37591,55.51599,50.10463,50.76659,30.8381,50.76569
2014-01-16 05:00:00,47.64569,65.34803000000001,55.55276,50.13127,50.65201,30.855529999999998,50.519
2014-01-17 05:00:00,47.53526,65.36197,55.258590000000005,49.99808,50.59913,30.81196,50.40842
2014-01-21 05:00:00,47.33139,65.4456,55.69065,50.19342,50.59913,30.81196,50.47647
2014-01-22 05:00:00,47.80708,65.34803000000001,55.94806,50.069109999999995,50.86354,30.82068,50.55303
